,date,Case_Shiller_Index,CPIAUCSL,MEHOINUSA646N,MORTGAGE30US,UNRATE,HOUST,A191RL1Q225SBEA,POPTHM
0,2000-01-01,100.0,169.3,41990.0,,,1636.0,1.5,281083.0
1,2000-02-01,100.571,170.0,41990.0,,,1737.0,1.5,281299.0
2,2000-03-01,101.466,171.0,41990.0,,,1604.0,1.5,281531.0
3,2000-04-01,102.54,170.9,41990.0,,,1626.0,7.5,281763.0
4,2000-05-01,103.702,171.2,41990.0,,,1575.0,7.5,281996.0
5,2000-06-01,104.855,172.2,41990.0,,,1559.0,7.5,282247.0
6,2000-07-01,105.721,172.7,41990.0,,,1463.0,0.4,282504.0
7,2000-08-01,106.521,172.7,41990.0,,,1541.0,0.4,282769.0
8,2000-09-01,107.135,173.6,41990.0,7.96,,1507.0,0.4,283033.0
9,2000-10-01,107.728,173.9,41990.0,7.96,,1549.0,2.4,283285.0
10,2000-11-01,108.29,174.2,41990.0,7.96,,1551.0,2.4,283523.0
11,2000-12-01,108.791,174.6,41990.0,7.65,,1532.0,2.4,283748.0
12,2001-01-01,109.214,175.6,42230.0,7.65,4.2,1600.0,-1.3,283960.0
13,2001-02-01,109.642,176.0,42230.0,7.65,4.2,1625.0,-1.3,284166.0
14,2001-03-01,110.394,176.1,42230.0,7.65,4.3,1590.0,-1.3,284380.0
15,2001-04-01,111.247,176.4,42230.0,7.65,4.4,1649.0,2.5,284602.0
16,2001-05-01,112.202,177.3,42230.0,7.65,4.3,1605.0,2.5,284834.0
17,2001-06-01,113.272,177.7,42230.0,7.24,4.5,1636.0,2.5,285076.0
18,2001-07-01,114.226,177.4,42230.0,7.24,4.6,1670.0,-1.6,285324.0
19,2001-08-01,114.987,177.4,42230.0,7.24,4.9,1567.0,-1.6,285584.0
20,2001-09-01,115.465,178.1,42230.0,7.24,5.0,1562.0,-1.6,285842.0
21,2001-10-01,115.681,177.6,42230.0,7.24,5.3,1540.0,1.1,286086.0
22,2001-11-01,115.838,177.5,42230.0,7.24,5.5,1602.0,1.1,286315.0
23,2001-12-01,116.055,177.4,42230.0,7.24,5.7,1568.0,1.1,286533.0
24,2002-01-01,116.436,177.7,42410.0,7.24,5.7,1698.0,3.4,286739.0
25,2002-02-01,116.916,178.0,42410.0,7.02,5.7,1829.0,3.4,286935.0
26,2002-03-01,117.929,178.5,42410.0,6.8,5.7,1642.0,3.4,287131.0
27,2002-04-01,119.208,179.3,42410.0,6.8,5.9,1592.0,2.5,287343.0
28,2002-05-01,120.788,179.5,42410.0,6.8,5.8,1764.0,2.5,287571.0
29,2002-06-01,122.333,179.6,42410.0,6.8,5.8,1717.0,2.5,287808.0
30,2002-07-01,123.687,180.0,42410.0,6.8,5.8,1655.0,1.6,288051.0
31,2002-08-01,124.729,180.5,42410.0,6.8,5.7,1633.0,1.6,288303.0
32,2002-09-01,125.494,180.8,42410.0,6.8,5.7,1804.0,1.6,288554.0
33,2002-10-01,126.136,181.2,42410.0,6.8,5.7,1648.0,0.5,288794.0
34,2002-11-01,126.642,181.5,42410.0,6.13,5.9,1753.0,0.5,289012.0
35,2002-12-01,127.151,181.8,42410.0,6.13,6.0,1788.0,0.5,289214.0
36,2003-01-01,127.652,182.6,43320.0,6.13,5.8,1853.0,2.1,289412.0
37,2003-02-01,128.326,183.6,43320.0,6.13,5.9,1629.0,2.1,289606.0
38,2003-03-01,129.308,183.9,43320.0,6.13,5.9,1726.0,2.1,289809.0
